tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2008,3,32124,"Hilton Head, SC",12124,HHH,14,13090,0.0000,233.92,0.1127,9,8350,0.0000,232.40,0.1044,5,4740,0.0000,236.60,0.1275,2008312124HHH
Table 7,2015,2,30785,"Burlington, VT",10785,BTV,50,205900,0.5985,256.35,0.0382,12,75050,0.3403,202.86,0.1273,38,130850,0.7467,287.03,0.0060,2015210785BTV
Table 7,2016,4,32467,"Miami, FL (Metropolitan Area)",11697,FLL,148,4045470,0.9705,176.97,-0.1455,32,539320,0.8667,145.88,-0.1897,116,3506150,0.9865,181.75,-0.1397,2016411697FLL
Table 7,2012,2,30257,"Albany, NY",10257,ALB,61,475160,0.8173,245.76,0.0555,21,163730,0.6029,206.31,0.0666,40,311430,0.9301,266.51,0.0510,2012210257ALB
Table 7,2008,4,31775,"Sioux Falls, SD",11775,FSD,34,87980,0.0000,242.70,0.1203,5,19030,0.0000,293.40,0.2532,29,68950,0.0000,228.71,0.0798,2008411775FSD
Table 7,2010,4,30423,"Austin, TX",10423,AUS,109,1786420,0.8316,193.55,0.0299,24,373900,0.8459,157.27,0.0164,85,1412520,0.8278,203.15,0.0328,2010410423AUS
Table 7,2019,2,30561,"Bakersfield, CA",10561,BFL,8,22230,0.0000,278.50,0.0994,1,6950,0.0000,214.10,0.0128,7,15280,0.0000,307.79,0.1299,2019210561BFL
Table 7,2017,3,34082,"Punta Gorda, FL",14082,PGD,30,188520,1.0000,82.90,-0.6327,4,17210,1.0000,73.05,-0.6753,26,171310,1.0000,83.89,-0.6284,2017314082PGD
Table 7,2010,4,34711,"Philipsburg/State College, PA",14711,SCE,21,28740,0.0000,244.02,0.0369,6,8360,0.0000,235.76,0.2050,15,20380,0.0000,247.41,-0.0167,2010414711SCE
Table 7,2009,1,30852,"Washington, DC (Metropolitan Area)",10821,BWI,172,3093020,0.8931,150.54,-0.0830,77,1390160,0.8892,126.77,-0.0458,95,1702860,0.8963,169.95,-0.1042,2009110821BWI
Table 7,2010,3,30685,"Bloomington/Normal, IL",10685,BMI,34,90130,0.9039,160.31,-0.2256,8,35200,0.9006,153.25,-0.1715,26,54930,0.9061,164.84,-0.2546,2010310685BMI
Table 7,2015,2,34674,"Santa Fe, NM",14674,SAF,13,15610,0.0000,277.76,0.1516,5,10000,0.0000,228.65,0.1731,8,5610,0.0000,365.29,0.1285,2015214674SAF
Table 7,2008,3,33214,"San Antonio, TX",14683,SAT,111,1568920,0.8887,186.92,-0.0856,26,396200,0.8287,146.10,-0.1954,85,1172720,0.9089,200.71,-0.0538,2008314683SAT
Table 7,2012,3,31453,"Houston, TX",12191,HOU,151,1728410,0.9771,198.64,0.0185,37,785740,0.9699,169.27,0.0006,114,942670,0.9831,223.12,0.0302,2012312191HOU
Table 7,2019,2,32457,"San Francisco, CA (Metropolitan Area)",14771,SFO,172,7055740,0.5631,262.74,0.0269,33,2393570,0.6085,153.54,-0.1417,139,4662170,0.5398,318.80,0.0794,2019214771SFO
Table 7,2011,4,32896,"Lubbock, TX",12896,LBB,39,163970,0.8214,186.57,0.0072,11,115530,0.8492,160.23,0.0032,28,48440,0.7550,249.39,0.0135,2011412896LBB
Table 7,2016,3,31267,"Dayton, OH",11267,DAY,64,338810,0.5601,235.49,-0.0399,30,172560,0.3077,219.25,-0.0383,34,166250,0.8221,252.36,-0.0413,2016311267DAY
Table 7,2008,3,33256,"Mission/McAllen/Edinburg, TX",13256,MFE,33,111190,0.0000,216.89,0.0343,5,40280,0.0000,150.60,-0.1325,28,70910,0.0000,254.55,0.1057,2008313256MFE
Table 7,2011,4,30980,"Chattanooga, TN",10980,CHA,42,90020,0.0000,219.01,-0.0010,21,60660,0.0000,198.88,-0.0377,21,29360,0.0000,260.59,0.0629,2011410980CHA
Table 7,2014,4,35412,"Knoxville, TN",15412,TYS,56,267540,0.1589,257.55,0.0607,29,153560,0.0000,222.60,-0.0164,27,113980,0.3729,304.64,0.1494,2014415412TYS
Table 7,2007,4,31295,"Detroit, MI",11433,DTW,119,3352860,0.7175,174.40,0.0063,63,1539060,0.5350,165.81,0.1641,56,1813800,0.8723,181.69,-0.0894,2007411433DTW
Table 7,2018,1,30257,"Albany, NY",10257,ALB,59,468010,0.8773,237.47,0.0281,18,97430,0.6425,230.20,0.1295,41,370580,0.9390,239.38,0.0053,2018110257ALB
